"Product name","Description","Slug","URL","SKU","Categories","Status","Is featured?","Brand","Product collections","Labels","Taxes","Image","Images","Price","Product attributes","Import type","Is variation default?","Stock status","With storehouse management","Quantity","Allow checkout when out of stock","Sale price","Start date sale price","End date sale price","Weight","Length","Wide","Height","Cost per item","Barcode","Content","Tags","Vendor"
"Tokri (Basket) Thresher Double (link) Kadi Rear Chain","<p><span style=""color:hsl(0,75%,60%);font-size:11px;""><i><strong>This product cannot be returned. Please purchase the product only after CHECKING and MATCHING it properly.</strong></i></span>  </p><p><img src=""https://www.gropart.com/storage/genuine-tags/01-min.jpg"" alt=""01-min"" loading=""lazy""><br> </p>","tokri-basket-chain-roller-chain-tokri-chain-thresher-machine-chain","https://www.gropart.com/products/tokri-basket-chain-roller-chain-tokri-chain-thresher-machine-chain","BCHAIN-68-7","Agriculture Machinery,Thresher Spares,Chains and Rafters","published","","","Best Deals On Thresher Spares,THSPR5","Sale,Extra 5% Off","IGST 18%,CGST 9%,SGST 9%","https://www.gropart.com/storage/customers/03-min-15.jpg","https://www.gropart.com/storage/customers/03-min-15.jpg,https://www.gropart.com/storage/customers/01-min-22.jpg,https://www.gropart.com/storage/customers/02-min-22.jpg","3336","Double Kadi Nukka and Length","product","","in_stock","1","12","1","3099","","","11","15","25","8","","73151100","<p><strong>Basket (Tokri) Model Thresher Double Link Roller Chain</strong></p><figure class=""table""><table><tbody><tr><td>Drive Type:</td><td>Back Chain </td></tr><tr><td>Drive Material: </td><td>Stainless Steel</td></tr><tr><td>Product Type:</td><td>DRILL ROLLER CHAIN</td></tr></tbody></table></figure><figure class=""table""><table><tbody><tr><td style=""border:1px solid hsl(0,0%,90%);"">01</td><td style=""border:1px solid hsl(0,0%,90%);"">length: 65""</td><td style=""border:1px solid hsl(0,0%,90%);"">10 Nukka</td><td style=""border:1px solid hsl(0,0%,90%);"">Weight: 7.400kg approx</td></tr><tr><td style=""border:1px solid hsl(0,0%,90%);"">02 </td><td style=""border:1px solid hsl(0,0%,90%);"">length: 68""</td><td style=""border:1px solid hsl(0,0%,90%);"">07 Nukka</td><td style=""border:1px solid hsl(0,0%,90%);"">Weight: 9.790kg approx</td></tr><tr><td style=""border:1px solid hsl(0,0%,90%);"">03</td><td style=""border:1px solid hsl(0,0%,90%);"">length: 69""</td><td style=""border:1px solid hsl(0,0%,90%);"">21 Nukka</td><td style=""border:1px solid hsl(0,0%,90%);"">Weight: 8.500kg approx</td></tr><tr><td style=""border:1px solid hsl(0,0%,90%);"">04</td><td style=""border:1px solid hsl(0,0%,90%);"">length: 96""</td><td style=""border:1px solid hsl(0,0%,90%);"">15 Nukka</td><td style=""border:1px solid hsl(0,0%,90%);"">Weight: 11kg approx</td></tr><tr><td style=""border:1px solid hsl(0,0%,90%);"">05</td><td style=""border:1px solid hsl(0,0%,90%);"">length: 98""</td><td style=""border:1px solid hsl(0,0%,90%);"">10 Nukka</td><td style=""border:1px solid hsl(0,0%,90%);"">Weight: 10kg approx</td></tr><tr><td style=""border:1px solid hsl(0,0%,90%);"">06</td><td style=""border:1px solid hsl(0,0%,90%);"">length: 98""</td><td style=""border:1px solid hsl(0,0%,90%);"">30 Nukka</td><td style=""border:1px solid hsl(0,0%,90%);"">Weight: 13.880kg approx</td></tr><tr><td style=""border:1px solid hsl(0,0%,90%);"">07</td><td style=""border:1px solid hsl(0,0%,90%);"">length: 99""</td><td style=""border:1px solid hsl(0,0%,90%);"">30 Nukka</td><td style=""border:1px solid hsl(0,0%,90%);"">Weight: 11.700kg approx</td></tr></tbody></table></figure><ul><li>65-10 is Recommend for <i>“Mitthu Singh Harmit Singh Thresher”</i></li><li>68-07 is Recommend for <i>“Star Basket Model Thresher”</i></li><li><i>69-21 is Recommend for ""Mitthu Singh Harmit Singh Thresher""</i></li><li>96-15  is Recommend for <i>""Reinforce Punjab Thresher""</i></li><li>98-10  is Recommend for <i>“Reinforce Punjab Thresher”</i></li></ul><p><strong style=""background-color:rgb(255,255,255);color:rgb(34,32,38);font-family:Muli, sans-serif;font-size:14px;font-style:normal;font-weight:bolder;word-spacing:0px;"">Note: Metal items get rust always or it seems like old but It doesn't mean that it is used product. It is completely unused and it's completely new for you.</strong></p>","Thresher Part,Machine Chain,Basket Thresher,Thresher Elevator Chain","SB Marketing"
"Tokri (Basket) Thresher Double (link) Kadi Rear Chain","","","","BCHAIN-65-10","","published","","","","","","","","3427","Double Kadi Nukka and Length:65"" Inch, 10 Nukka","variation","","in_stock","1","2","","3190","","","8.25","20","20","7","","73151100","","",""
"Tokri (Basket) Thresher Double (link) Kadi Rear Chain","","","","BCHAIN-69-21","","published","","","","","","","","3984","Double Kadi Nukka and Length:69"" Inch, 21 Nukka","variation","","in_stock","1","2","1","3499","","","9","25","25","8","","73151100","","",""
"Tokri (Basket) Thresher Double (link) Kadi Rear Chain","","","","BCHAIN-68-7","","published","","","","","","","","3336","Double Kadi Nukka and Length:68"" Inch, 7 Nukka","variation","1","in_stock","1","2","","3099","","","11","15","25","8","","73151100","","",""
"Tokri (Basket) Thresher Double (link) Kadi Rear Chain","","","","BCHAIN-96-15","","published","","","","","","","","7346","Double Kadi Nukka and Length:96"" Inch, 15 Nukka","variation","","in_stock","1","2","","6999","","","11.5","23","23","8","","73151100","","",""
"Tokri (Basket) Thresher Double (link) Kadi Rear Chain","","","","BCHAIN-98-10","","published","","","","","","","","6543","Double Kadi Nukka and Length:98"" Inch, 10 Nukka","variation","","in_stock","1","2","","5999","","","10.5","18","18","8","","73151100","","",""
"Tokri (Basket) Thresher Double (link) Kadi Rear Chain","","","","BCHAIN-98-30","","published","","","","","","","","7886","Double Kadi Nukka and Length:98"" Inch, 30 Nukka","variation","","in_stock","1","2","","7389","","","14.5","19","19","8","","73151100","","",""
"Tokri (Basket) Thresher Single (link) Kadi Rear Chain","<p style=""background-color:rgb(255,255,255);font-family:Muli, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.6em;word-spacing:0px;""><span style=""color:hsl(0,75%,60%);font-size:11px;""><i><strong>This product cannot be returned. Please purchase the product only after CHECKING and MATCHING it properly.</strong></i></span></p><p><img src=""https://www.gropart.com/storage/genuine-tags/01-min.jpg"" alt=""01-min"" loading=""lazy""><br> </p>","tokri-basket-chain-roller-chain-tokri-chain-thresher-machine-chain-patti","https://www.gropart.com/products/tokri-basket-chain-roller-chain-tokri-chain-thresher-machine-chain-patti","BCHAIN-69-10","Agriculture Machinery,Thresher Spares,Chains and Rafters","published","","","Best Deals On Thresher Spares,THSPR5","Sale,Extra 5% Off","IGST 18%,CGST 9%,SGST 9%","https://www.gropart.com/storage/customers/11.jpg","https://www.gropart.com/storage/customers/11.jpg,https://www.gropart.com/storage/customers/10.jpg,https://www.gropart.com/storage/customers/05-min-4.jpg,https://www.gropart.com/storage/customers/06-min-4.jpg,https://www.gropart.com/storage/customers/04-min-8.jpg","2946","Single Kadi Nukka and Length","product","","in_stock","1","9","","2399","","","4.5","18","18","8","","73151100","<p style=""background-color:rgb(255,255,255);font-family:Muli, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.6em;word-spacing:0px;""><strong style=""font-weight:bolder;"">Single link chain for Basket (Tokri) Model Thresher Roller Chain</strong></p><figure class=""table""><table><tbody><tr><td style=""border:1px solid hsl(0,0%,90%);"">01</td><td style=""border:1px solid hsl(0,0%,90%);"">Length: 69""</td><td style=""border:1px solid hsl(0,0%,90%);"">10 Nukka</td><td style=""border:1px solid hsl(0,0%,90%);"">Weight: 4kg approx</td></tr><tr><td style=""border:1px solid hsl(0,0%,90%);"">02</td><td style=""border:1px solid hsl(0,0%,90%);"">Length: 69""</td><td style=""border:1px solid hsl(0,0%,90%);"">20 Nukka</td><td style=""border:1px solid hsl(0,0%,90%);"">Weight: 4.500 approx</td></tr><tr><td style=""border:1px solid hsl(0,0%,90%);"">03</td><td style=""border:1px solid hsl(0,0%,90%);"">Length: 69""</td><td style=""border:1px solid hsl(0,0%,90%);"">07 Nukka</td><td style=""border:1px solid hsl(0,0%,90%);"">Weight: 4kg approx</td></tr></tbody></table></figure><ul><li><p style=""background-color:rgb(255,255,255);font-family:Muli, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.6em;word-spacing:0px;"">69-10 is Recommend for “Mitthu Singh Harmit Singh Thresher”</p></li><li><p style=""background-color:rgb(255,255,255);font-family:Muli, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.6em;word-spacing:0px;"">69-20 is Recommend for “Mitthu Singh Harmit Singh Thresher”</p></li><li><p style=""background-color:rgb(255,255,255);font-family:Muli, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.6em;word-spacing:0px;"">96-15  is Recommend for ""New Saggu Thresher""</p></li></ul><figure class=""table""><table><tbody><tr><td>Chain Drive Type:</td><td>Back Roller Chain</td></tr><tr><td>Chain Drive Material:</td><td>Stainless Heavy Metal</td></tr><tr><td>Product Type:</td><td>Drill Roller Chain</td></tr></tbody></table></figure><p style=""background-color:rgb(255,255,255);font-family:Muli, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.6em;word-spacing:0px;""><strong style=""background-color:rgb(255,255,255);color:rgb(34,32,38);font-family:Muli, sans-serif;font-size:14px;font-style:normal;font-weight:bolder;word-spacing:0px;"">Note: Metal items get rust always or it seems like old but It doesn't mean that it is used product. It is completely unused and it's completely new for you.</strong></p>","Thresher Part,Machine Chain,Basket Thresher,Thresher Elevator Chain","SB Marketing"
"Tokri (Basket) Thresher Single (link) Kadi Rear Chain","","","","BCHAIN-69-10","","published","","","","","","","","2946","Single Kadi Nukka and Length:69"" Inch, 10 Nukkaa","variation","1","in_stock","1","5","","2399","","","4.5","18","18","8","","73151100","","",""
"Tokri (Basket) Thresher Single (link) Kadi Rear Chain","","","","BCHAIN-69-20","","published","","","","","","","","3126","Single Kadi Nukka and Length:69"" Inch, 20 Nukka","variation","","in_stock","1","2","","2649","","","4.99","18","18","8","","73151100","","",""
"Tokri (Basket) Thresher Single (link) Kadi Rear Chain","","","","BCHAIN-69-7","","published","","","","","","","","2678","Single Kadi Nukka and Length:69"" Inch, 7 Nukka","variation","","in_stock","1","2","","2299","","","4.5","18","18","8","","73151100","","",""
"Hadamba Thresher Tokka (cutting) Blades","<p style=""background-color:rgb(255,255,255);color:rgb(0,0,0);font-family:Roboto, sans-serif, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.6em;text-align:left;word-spacing:0px;""><span style=""color:hsl(0,0%,0%);""><i>This product cannot be returned. Please purchase the product only after CHECKING and MATCHING it properly.</i></span>  <span style=""color:hsl(210,75%,60%);""><span>     </span>  </span></p><p><img src=""https://www.gropart.com/storage/genuine-tags/01-min.jpg"" alt=""01-min"" loading=""lazy""><br> </p>","tokka-blade-cutter-tokk-cutter-blade-thresher-blade-patta-blade-machine-blade-tooka-machine-tokka-peti-blades-thresher-blades","https://www.gropart.com/products/tokka-blade-cutter-tokk-cutter-blade-thresher-blade-patta-blade-machine-blade-tooka-machine-tokka-peti-blades-thresher-blades","TH-TK-BLD","Agriculture Machinery,Thresher Spares,Cutting Blades","published","","PS Saggu","Best Deals On Thresher Spares,THSPR5","Sale,Extra 5% Off","IGST 18%,CGST 9%,SGST 9%","https://www.gropart.com/storage/customers/blades/19-min.jpg","https://www.gropart.com/storage/customers/blades/19-min.jpg","1465","Gandasa","product","","in_stock","1","10","1","1349","","","3.5","","","","","","<p style=""background-color:rgb(255,255,255);color:rgb(102,102,102);font-family:Roboto, sans-serif, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.8em;text-align:left;word-spacing:0px;""><strong style=""font-family:sans-serif;"">Thresher Cutting Blade (Tokka or Gandasa) For Hudamba (patta) Model Threshers</strong></p><p style=""background-color:rgb(255,255,255);color:rgb(102,102,102);font-family:Roboto, sans-serif, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.8em;text-align:left;word-spacing:0px;"">Genuine brand PS Saggu and Pujari cutting blades, Both are 3 Pieces in 1 sets with bolts. Sharp edges blades build from heavy superior metals and Round shape edges</p><p style=""background-color:rgb(255,255,255);color:rgb(102,102,102);font-family:Roboto, sans-serif, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.8em;text-align:left;word-spacing:0px;"">Color: Black and 3 Hole</p><p style=""background-color:rgb(255,255,255);color:rgb(102,102,102);font-family:Roboto, sans-serif, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.8em;text-align:left;word-spacing:0px;""><span>Recommendation: Reinforce Punjab Super Deluxe Blade (P885 and P880)      </span>  <span style=""color:hsl(210,75%,60%);""><span>   </span>  </span></p>","Thresher Part,Cutting Blades,Tokka Blade","SB Marketing"
"Hadamba Thresher Tokka (cutting) Blades","","","","TH-TK-BLD","","published","","","","","","https://www.gropart.com/storage/customers/blades/22-min.jpg","https://www.gropart.com/storage/customers/blades/22-min.jpg,https://www.gropart.com/storage/customers/blades/20-min.jpg","1465","Gandasa:PS Saggu, 1 Set,Gandasa:PS Saggu, 1 Set","variation","1","in_stock","1","10","1","1349","","","3.5","","","","","","","",""
"Hadamba Thresher Straight Cutting Blade","<p style=""background-color:rgb(255,255,255);color:rgb(0,0,0);font-family:Roboto, sans-serif, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.6em;text-align:left;word-spacing:0px;""><span style=""color:hsl(0,0%,0%);""><i>This product cannot be returned. Please purchase the product only after CHECKING and MATCHING it properly.</i></span></p><p><img src=""https://www.gropart.com/storage/genuine-tags/01-min.jpg"" alt=""01-min"" loading=""lazy""><br> </p>","straight-cutting-blade","https://www.gropart.com/products/straight-cutting-blade","TH-ST-BLD","Agriculture Machinery,Thresher Spares,Cutting Blades","published","","PS Saggu","Best Deals On Thresher Spares,THSPR5","Sale,Extra 5% Off","IGST 18%,CGST 9%,SGST 9%","https://www.gropart.com/storage/customers/06-min-7.jpg","https://www.gropart.com/storage/customers/blades/18-min.jpg,https://www.gropart.com/storage/customers/blades/17-min.jpg","750","Hole Cutter","product","","in_stock","1","40","1","680","","","1.7","","","","","","<p style=""background-color:rgb(255,255,255);color:rgb(102,102,102);font-family:Roboto, sans-serif, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.8em;text-align:left;word-spacing:0px;""><strong style=""font-family:sans-serif;"">Thresher Cutting Blade (Tokka or Gandasa) For Hudamba (patta) and Tokri Cutter Model Threshers</strong></p><p style=""background-color:rgb(255,255,255);color:rgb(102,102,102);font-family:Roboto, sans-serif, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.8em;text-align:left;word-spacing:0px;"">Genuine brand PS Saggu cutting blades, 3 Pieces of sets with nut and bolt. Sharp edges blades build from heavy superior metals, Straight shape edges.</p><p style=""background-color:rgb(255,255,255);color:rgb(102,102,102);font-family:Roboto, sans-serif, sans-serif;font-size:14px;font-style:normal;font-weight:400;line-height:1.8em;text-align:left;word-spacing:0px;"">Color: Black and 4 and 5 Hole</p><p>Recommendation: For Saggu, Khokhar, New Vishvakarma hudamba (cutter) tokri  thresher models</p>","Thresher Part,Conveyor Thresher,Cutting Blades,Tokka Blade","SB Marketing"
"Hadamba Thresher Straight Cutting Blade","","","","TH-ST-BLD","","published","","","","","","https://www.gropart.com/storage/customers/blades/12-min.jpg","https://www.gropart.com/storage/customers/blades/12-min.jpg,https://www.gropart.com/storage/customers/blades/13-min.jpg","750","Hole Cutter:PS Saggu, 5 Hole","variation","1","in_stock","1","10","1","680","","","1.7","","","","","","","",""
"Hadamba Thresher Straight Cutting Blade","","","","TH-ST-BLD","","published","","","","","","https://www.gropart.com/storage/customers/blades/14-min.jpg","https://www.gropart.com/storage/customers/blades/14-min.jpg,https://www.gropart.com/storage/customers/blades/13-min.jpg","750","Hole Cutter:PS Saggu, 4 Hole","variation","","in_stock","1","10","1","680","","","1.7","","","","","","","",""
"Hadamba Thresher Straight Cutting Blade","","","","TH-ST-BLD","","published","","","","","","https://www.gropart.com/storage/customers/blades/15-min.jpg","https://www.gropart.com/storage/customers/blades/15-min.jpg","650","Hole Cutter:Pujari, 4 Hole ","variation","","in_stock","1","10","1","580","","","1.35","","","","","","","",""
"Hadamba Thresher Straight Cutting Blade","","","","TH-ST-BLD","","published","","","","","","https://www.gropart.com/storage/customers/blades/16-min.jpg","https://www.gropart.com/storage/customers/blades/16-min.jpg","650","Hole Cutter:Pujari, 5 Hole","variation","","in_stock","1","10","1","580","","","1.35","","","","","","","",""
"Hadamba (Patta) Multi Crop Thresher Rotor Guide Frame 5 Hole Foundation","<p><span style=""color:hsl(0,75%,60%);font-size:11px;""><i><strong>This product cannot be returned. Please purchase the product only after CHECKING and MATCHING it properly.</strong></i></span>  </p><p><img src=""https://www.gropart.com/storage/genuine-tags/01-min.jpg"" alt=""01-min"" loading=""lazy""><br> </p>","rotor-guide-frame-thresher-parts-patta-model-tokri-model-hudamba-basket-model-thresher-rotor-blade-foundation","https://www.gropart.com/products/rotor-guide-frame-thresher-parts-patta-model-tokri-model-hudamba-basket-model-thresher-rotor-blade-foundation","TH-BLD-FND","Agriculture Machinery,Thresher Spares,Internal and External Spares","published","","","Best Deals On Thresher Spares,THSPR5","Sale,Extra 5% Off","IGST 18%,CGST 9%,SGST 9%","https://www.gropart.com/storage/customers/01-min-6.jpg","https://www.gropart.com/storage/customers/01-min-6.jpg","900","","product","","on_backorder","1","3","","749","","","2.7","","","","","","<p><strong>Rotor Guide Foundation Frame For Hadamba Thresher Only</strong></p><p>2.½ Inch Guide Frame</p><p>5 Hole Blade Foundation</p><p>Specially recommendation for Chomu Patta (conveyor) Thresher</p><p>Build from heavy metal</p><p>Weight: 2.500gm</p><p><strong>Note: Metal items get rust always or it seems like old but It doesn't mean that it is used product. It is completely unused and it's completely new for you.</strong></p>","Thresher Part,Conveyor Thresher,Cutting Blades","SB Marketing"
